prediction	target	average probability	entropy	edit_distance	uncertainty_value
n i e p r z e p c h a n i a	n i e p r z e p c h a n i a	0.19368871450424194	tensor(0.3179)	-2	0.3179406225681305
o d l u d n o ś ć	o d l u d n o ś ć	0.19583832025527953	tensor(0.3193)	-2	0.31930768489837646
p a c a ł y b y ś c i e	p a c a ł y b y ś c i e	0.19706100225448608	tensor(0.3201)	-2	0.32007473707199097
u m o t y w u j c i e	u m o t y w u j c i e	0.18418412208557128	tensor(0.3116)	-2	0.3116062581539154
b ę d z i e c i e   o m ą c z a ł y	b ę d z i e c i e   o m ą c z a ł y	0.18937288522720336	tensor(0.3151)	-2	0.3151235282421112
n i e o s i w i o n e m u	n i e o s i w i o n e m u	0.1929826855659485	tensor(0.3175)	-2	0.31748640537261963
n i e p i s y w a n y c h	n i e p i s y w a n y c h	0.1951597213745117	tensor(0.3189)	-2	0.3188786804676056
s ł o w n i k a r s t o w o m	s ł o w n i k a r s t w o m	0.12050236463546753	tensor(0.4432)	-1	0.44324958324432373
n i e w y s k a r ż a j ą c e m u   s i ę	n i e w y s k a r ż a j ą c e m u   s i ę	0.19683759212493895	tensor(0.3199)	-2	0.3199351727962494
n i e r o z w ś c i e k l a n e m u	n i e r o z w ś c i e k l a n e m u	0.08216454386711121	tensor(0.4104)	-2	0.41042977571487427
d e h u m a n i z o w a n y m i	d e h u m a n i z o w a n y m i	0.19669654369354247	tensor(0.3198)	-2	0.31984689831733704
h o ł o t k u	h o ł o t c e	0.1581417441368103	tensor(0.2917)	0	0.2916550636291504
p o u w ł a s z c z e n i o w y c h	p o u w ł a s z c z e n i o w y c h	0.19612072706222533	tensor(0.3195)	-2	0.31948554515838623
n i e m i ę d z y g r o m a d z k o ś c i a c h	n i e m i ę d z y g r o m a d z k o ś c i a c h	0.18537276983261108	tensor(0.3124)	-2	0.31242477893829346
n i e u n a t u r a l n i o m	n i e u n a t u r a l n i e n i o m	0.19543131589889526	tensor(0.3191)	1	0.319050669670105
d ę t o l o g i e	d ę t o l o g i i	0.193140709400177	tensor(0.3176)	-1	0.31758826971054077
j a w o r z n i c k i	j a w o r z n i c c y	0.19595754146575928	tensor(0.3194)	0	0.31938281655311584
n i e w i l k o w a t y m	n i e w i l k o w a t y m	0.19404120445251466	tensor(0.3182)	-2	0.3181664049625397
p r z e s i ą k r a c h	p r z e s i ą k r a c h	0.19422028064727784	tensor(0.3183)	-2	0.3182808756828308
w y p i ę k n i a l i b y	w y p i ę k n i a l i b y	0.1950940728187561	tensor(0.3188)	-2	0.31883707642555237
o z i e w a ł o b y ś	o z i e w a ł o b y ś	0.19510924816131592	tensor(0.3188)	-2	0.3188466727733612
n i e o b w ł ó c z o n y c h	n i e o b w ł ó c z o n y c h	0.19628785848617553	tensor(0.3196)	-2	0.31959059834480286
s z p i n e t o w o ś c i	s z p i n e t o w o ś c i	0.19641374349594115	tensor(0.3197)	-2	0.319669634103775
n a z i e m n y	n a z i e m n y	0.19604095220565795	tensor(0.3194)	-2	0.31943535804748535
n i e k a r n a w a ł o w a n i e	n i e k a r n a w a ł o w a n i e	0.19363129138946533	tensor(0.3179)	-2	0.3179037570953369
w y p o ś r o d k o w u j ą c e j	w y p o ś r o d k o w u j ą c e j	0.1925697684288025	tensor(0.3172)	-2	0.3172195553779602
p o p i e c e n i a	p o p i e c z e n i a	0.18096009492874146	tensor(0.3093)	-1	0.3093474209308624
n i e p r z y o r y w a j ą c e   s i ę	n i e p r z y o r y w a j ą c e   s i ę	0.16366289854049682	tensor(0.2962)	-2	0.2962210774421692
d r u g o l e t n i m i	d r u g o l e t n i m i	0.19432518482208253	tensor(0.3183)	-2	0.31834784150123596
z m u t u j e c i e   s i ę	z m u t u j e c i e   s i ę	0.19185611009597778	tensor(0.3168)	-2	0.3167562782764435
l u d w i s a r s t w i	l u d w i s a r s t w i e	0.05614361763000488	tensor(0.1617)	-1	0.1616847664117813
r z ę z ą c e	r z ę ż ą c e	0.06957657933235169	tensor(0.3632)	-1	0.3632435202598572
n i e z w i ę d n i ę t e j	n i e z w i ę d n i ę t e j	0.181129789352417	tensor(0.3095)	-2	0.30946776270866394
n i e k o m o r n i c z y m	n i e k o m o r n i c z y m	0.1958560347557068	tensor(0.3193)	-2	0.31931886076927185
n i e n a r o j e n i e m   s i ę	n i e n a r o j e n i e m   s i ę	0.17463152408599852	tensor(0.3047)	-2	0.30474546551704407
p r z y s z n u r o w y w a ł y   s i ę	p r z y s z n u r o w y w a ł y   s i ę	0.1949373245239258	tensor(0.3187)	-2	0.31873756647109985
n i e p o m r o c z e n i a	n i e p o m r o c z e n i a	0.1930970311164856	tensor(0.3176)	-2	0.3175601363182068
b ę d z i e c i e   t ł a m s i ę	b ę d z i e c i e   t ł a m s i ł y   s i ę	0.18747802972793579	tensor(0.3139)	3	0.31385576725006104
n a j k r ą g ł y c h	n a j k r ą g l e j s z y c h	0.1938024640083313	tensor(0.3180)	3	0.3180135488510132
z i e m i a ń s k i m	z i e m i a ń s k i m	0.19657598733901976	tensor(0.3198)	-2	0.3197713792324066
z a ł a t w i e n i u	z a ł a t w i e n i u	0.16847772598266603	tensor(0.3001)	-2	0.3000507056713104
s t a b i l i z u j ą c o ś ć	s t a b i l i z u j ą c o ś ć	0.19165273904800414	tensor(0.3166)	-2	0.3166237771511078
p ł ó t n o w a ł b y	p ł ó t n o w a ł b y	0.1942448139190674	tensor(0.3183)	-2	0.31829655170440674
c z e s a ł a b y m	c z e s a ł a b y m	0.193625009059906	tensor(0.3179)	-2	0.3178997337818146
n i e b e z a w o d n y	n i e b e z z a w o d n y	0.18255435228347777	tensor(0.3105)	-1	0.3104715049266815
c i u k n ę ć   s i ę	c i u k n ą ć   s i ę	0.10100104808807372	tensor(0.4058)	-1	0.4058341979980469
s p r ó ż n o w a l i ś c i e   s i ę	s p r ó ż n o w a l i ś c i e   s i ę	0.1903769850730896	tensor(0.3158)	-2	0.3157876431941986
z a s z a m o t u j ą c e m u   s i ę	z a s z a m o t u j ą c e m u   s i ę	0.19482920169830323	tensor(0.3187)	-2	0.3186688721179962
n i e b i t u m i c z n y m	n i e b i t u m i c z n y m	0.1977204918861389	tensor(0.3205)	-2	0.32048532366752625
n i e z a s y p a n i a   s i ę	n i e z a s y p a n i a   s i ę	0.1936181902885437	tensor(0.3179)	-2	0.3178953528404236
n i e u p a t r y w a j ą c a	n i e u p a t r u j ą c a	0.18699135780334472	tensor(0.3135)	1	0.31352707743644714
u r y n a l i k a c h	u r y n a l i k a c h	0.1848670721054077	tensor(0.3121)	-2	0.31207746267318726
n i e n a s t a w a j ą c e	n i e n a s t a j ą c e	0.15387892723083496	tensor(0.2880)	0	0.28799813985824585
m i n i m a l i z o w a n e	m i n i m a l i z o w a n e	0.1958010196685791	tensor(0.3193)	-2	0.3192841708660126
k i ł k a ł y ś m y   s i ę	k i ć k a ł y ś m y   s i ę	0.1274838924407959	tensor(0.2626)	-1	0.26258689165115356
g o r d i n g ó w	g o r d i n g ó w	0.1211092472076416	tensor(0.2557)	-2	0.25566917657852173
n i e r e s t r y k c y j n y	n i e r e s t r y k c y j n y	0.1944416880607605	tensor(0.3184)	-2	0.3184221684932709
s f a n a t y z o w a ł o b y ś	s f a n a t y z o w a ł o b y ś	0.19449355602264404	tensor(0.3185)	-2	0.3184552490711212
n i e m u m i o w a n i e   s i ę	n i e m u m i o w a n i e   s i ę	0.19563908576965333	tensor(0.3192)	-2	0.31918197870254517
p t a s z y d ł o	p t a s z y d ł a	0.17013121843338014	tensor(0.3013)	-1	0.3013339042663574
p o w y t ł u k a n i a	p o w y t ł u k a n i a	0.19533411264419556	tensor(0.3190)	-2	0.3189891576766968
p o p r z y k l e j a ł y ś m y	p o p r z y k l e j a ł y ś m y	0.19313862323760986	tensor(0.3176)	-2	0.3175869286060333
g a l e r o w y m	g a l e r o w y m	0.1969262957572937	tensor(0.3200)	-2	0.3199906051158905
z e s m a g a n i u	z e s m a g a n i u	0.19701480865478516	tensor(0.3200)	-2	0.32004591822624207
n i e u p l a t a j ą c y c h   s i ę	n i e u p l a t a j ą c y c h   s i ę	0.19817874431610108	tensor(0.3208)	-2	0.3207693099975586
n i e h e k t o l i t r o w o ś c i a m i	n i e h e k t o l i t r o w o ś c i a m i	0.19439502954483032	tensor(0.3184)	-2	0.31839242577552795
n i e p a p r y k u j ą c ą	n i e p a p r y k u j ą c ą	0.19409669637680055	tensor(0.3182)	-2	0.3182018995285034
b ę d z i e   r o z s i e r d z a ć	b ę d z i e   r o z s i e r d z a ć	0.17916265726089478	tensor(0.3081)	-2	0.30806323885917664
n i e p r z e p l e n i a	n i e p r z e p l e n i e n i a	0.1942637324333191	tensor(0.3183)	1	0.31830862164497375
z a s k l e p i a j ą c y	z a s k l e p i a j ą c y	0.1951260447502136	tensor(0.3189)	-2	0.318857342004776
z g r a b i a ł e j	z g r a b i a ł e j	0.19578559398651124	tensor(0.3193)	-2	0.3192744553089142
z e s l a w i z o w a n e	z e s l a w i z o w a n e	0.19633839130401612	tensor(0.3196)	-2	0.31962233781814575
b a n d a ż o w a n e	b a n d a ż o w a n e	0.19480793476104735	tensor(0.3187)	-2	0.3186553716659546
n i e p o p r z e g l ą d a n i o m   s i ę	n i e p o p r z e g l ą d a n i o m   s i ę	0.18814884424209594	tensor(0.3143)	-2	0.31430676579475403
e s o w a j ą c ą	e s u j ą c ą	0.1941561818122864	tensor(0.3182)	1	0.3182399272918701
d o b i e r a ł b y   s i ę	d o b i e r a ł b y   s i ę	0.19665640592575073	tensor(0.3198)	-2	0.3198217749595642
k l a n o w e	k l a n o w e	0.19697970151901245	tensor(0.3200)	-2	0.32002395391464233
s e m i n a r i u m y	s e m i n a r i a	0.069901442527771	tensor(0.3481)	1	0.3480775058269501
l n i a n o w ł o s o ś c i	l n i a n o w ł o s o ś c i	0.19562182426452637	tensor(0.3192)	-2	0.31917107105255127
n i e u p y c h a n y m	n i e u p y c h a n y m	0.1955590009689331	tensor(0.3191)	-2	0.31913137435913086
z a c i s k a m i	z a c i s k a m i	0.17019455432891845	tensor(0.3014)	-2	0.30138275027275085
j a r z ą b e k	j a r z ą b k i	0.10890251398086548	tensor(0.2415)	0	0.24146977066993713
