prediction	target	average probability	entropy	dist
c h r u s t a ł a	c h r u s t a ł a	0.034434201940894124	0.01388185191899538	-2
n i e ś w i a t ł o ż ą d n y c h	n i e ś w i a t ł o ż ą d n y c h	0.036643704026937486	0.01850171759724617	-2
n i e p l u s k o c z ą c e	n i e p l u s k o c z ą c e	0.023754142597317694	1.2288880348205566	-2
p r z y p o d n u j ą c e m u   s i ę	p r z y p o d n o s z ą c e m u   s i ę	0.0372938297688961	0.5876465439796448	1
c u g o w o ś ć	c u g o w o ś ć	0.03783517554402351	0.013376394286751747	-2
p r z y w ę d z e ń	p r z y w ę d z e ń	0.025844820588827134	0.04920531436800957	-2
n i e o d p l a t a j ą c y m i   s i ę	n i e o d p l a t a j ą c y m i   s i ę	0.03751718364655972	0.0379183329641819	-2
n i e p r o f a s z y s t o w s k i c h	n i e p r o f a s z y s t o w s k i c h	0.03259721398353577	0.015256681479513645	-2
n i e w y d u d k a n y c h	n i e w y d u d k a n y c h	0.03068239949643612	0.012452492490410805	-2
k o n f o r m i z m i e	k o n f o r m i z m i e	0.02629191018640995	0.5058374404907227	-2
n i e k r z e s ł o w ą	n i e k r z e s ł o w ą	0.03183948732912541	0.013026785105466843	-2
u s t r a s z m y	u s t r a s z m y	0.03078886903822422	0.07328896969556808	-2
n i e w y h a m o w a n y c h	n i e w y h a m o w a n y c h	0.029924463108181955	0.014472381211817265	-2
z a d u m a n a	z a d u m a n a	0.04400690570473671	0.011627962812781334	-2
p o g l ą d o w o ś c i	p o g l ą d o w o ś c i	0.029866858944296838	0.01884552463889122	-2
n i e p r z e o b l e k a j ą c y m	n i e p r z e o b l e k a j ą c y m	0.028429368510842323	0.016106415539979935	-2
n i e d y g a j ą c y	n i e d y g a j ą c y	0.02915223091840744	0.01664183847606182	-2
r e p r e s y w n o ś c i	r e p r e s y w n o ś c i	0.03442015275359154	0.015231741592288017	-2
s m a r k n i j m y	s m a r k n i j m y	0.02798699848353863	0.0211618784815073	-2
t e r	t e r	0.09080180078744889	0.044140323996543884	-2
n i e u m u z y k a l n i e ń	n i e u m u z y k a l n i e ń	0.026528755947947503	0.016222083941102028	-2
n i e z a d z i o b u j ą c y   s i ę	n i e z a d z i o b u j ą c y   s i ę	0.040632476285099986	0.01462929230183363	-2
k o k i e t e r y j n y	k o k i e t e r y j n y	0.04523518458008766	0.013937677256762981	-2
p r z e m a r z a j ą c e j	p r z e m a r z a j ą c e j	0.026778144016861915	0.018287653103470802	-2
n i e o d ś w i e t l o n y m i	n i e o d ś w i e t l o n y m i	0.030355290696024894	0.016650570556521416	-2
w b i e c l i ś c i e	w b i e g l i ś c i e	0.027199817448854448	0.49163833260536194	-1
o f i c e r k ó w	o f i c e r k ó w	0.03330038860440254	0.056218117475509644	-2
w a ś n i e s z	w a ś n i s z	0.021236475557088852	1.3152217864990234	-1
n a k a r b o w a n ą	n a k a r b o w a n ą	0.033861004188656806	0.014965930953621864	-2
p o w i n o w a c e   s i ę	p o w i n o w a c i   s i ę	0.024478496983647346	1.367361307144165	-1
o d t ł u s z c i ł o b y m   s i ę	o d t ł u ś c i ł o b y m   s i ę	0.029643825814127923	0.9130980968475342	0
p a r a f r a z u j   s i ę	p a r a f r a z u j   s i ę	0.031108272448182105	0.02303304895758629	-2
n i e w e ł n o d a j n o ś c i	n i e w e ł n o d a j n o ś c i	0.03633871003985405	0.014737154357135296	-2
l u f s k u	l u f s k u	0.038587700575590134	0.3889613747596741	-2
n i e i d e a l i s t y c z n o ś c i	n i e i d e a l i s t y c z n o ś c i	0.03594299405813217	0.020940836519002914	-2
