prediction	target	average probability	entropy	edit_distance	uncertainty_value
n i e o s i w i o n e m u	n i e o s i w i o n e m u	0.1960950493812561	tensor(0.3195)	-2	0.3194693922996521
n i e m i ę d z y g r o m a d z k o ś c i a c h	n i e m i ę d z y g r o m a d z k o ś c i a c h	0.1953970193862915	tensor(0.3190)	-2	0.31902897357940674
p r z e s i ą k r a c h	p r z e s i ą k r a c h	0.19135316610336303	tensor(0.3164)	-2	0.31642821431159973
n i e k a r n a w a ł o w a n i e	n i e k a r n a w a ł o w a n i e	0.19596898555755615	tensor(0.3194)	-2	0.31939002871513367
n i e n a r o j e n i e m   s i ę	n i e n a r o j e n i e m   s i ę	0.19663434028625487	tensor(0.3198)	-2	0.3198079466819763
n i e p o m r o c z e n i a	n i e p o m r o c z e n i a	0.18944686651229858	tensor(0.3152)	-2	0.31517264246940613
z a ł a t w i e n i u	z a ł a t w i e n i u	0.19511871337890624	tensor(0.3189)	-2	0.3188526928424835
s p r ó ż n o w a l i ś c i e   s i ę	s p r ó ż n o w a l i ś c i e   s i ę	0.19603739976882933	tensor(0.3194)	-2	0.3194330930709839
g o r d i n g ó w	g o r d i n g ó w	0.19355131387710572	tensor(0.3179)	-2	0.3178524076938629
b ę d z i e   r o z s i e r d z a ć	b ę d z i e   r o z s i e r d z a ć	0.19620413780212403	tensor(0.3195)	-2	0.3195379972457886
n i e p r z e p l e n i e n i a	n i e p r z e p l e n i e n i a	0.19305171966552734	tensor(0.3175)	-2	0.31753093004226685
n i e p o p r z e g l ą d a n i o m   s i ę	n i e p o p r z e g l ą d a n i o m   s i ę	0.19564275741577147	tensor(0.3192)	-2	0.3191843032836914
e s o w a j ą c ą	e s u j ą c ą	0.19551875591278076	tensor(0.3191)	1	0.31910595297813416
l n i a n o w ł o s o ś c i	l n i a n o w ł o s o ś c i	0.19358503818511963	tensor(0.3179)	-2	0.3178740441799164
b a r b e c u	b a r b e c u e	0.09898149967193604	tensor(0.3808)	-1	0.3808414936065674
n i e w i o n e j	n i e w i t e j	0.19580992460250854	tensor(0.3193)	0	0.31928980350494385
n i e s k o p i o n y m	n i e s k o p i o n y m	0.19511696100234985	tensor(0.3189)	-2	0.3188515901565552
k o z a k o w a n i e	k o z a k o w a n i e	0.19632258415222167	tensor(0.3196)	-2	0.31961241364479065
n i e p r z e c h ł a d z a j ą c y m   s i ę	n i e p r z e c h ł a d z a j ą c y m   s i ę	0.19440630674362183	tensor(0.3184)	-2	0.3183996081352234
s a m c z y k o w i	s a m c z y k o w i	0.1911430239677429	tensor(0.3163)	-2	0.3162907361984253
p o k r w a w i e n i a	p o k r w a w i e n i a	0.19482327699661256	tensor(0.3187)	-2	0.31866511702537537
n i e ł o w i e c k i e j	n i e ł o w i e c k i e j	0.19655836820602418	tensor(0.3198)	-2	0.31976035237312317
o b s r y w a j ą c y m   s i ę	o b s r y w a j ą c y m   s i ę	0.18718658685684203	tensor(0.3137)	-2	0.31365910172462463
n i e k l e p a r s k o ś c i a c h	n i e k l e p a r s k o ś c i a c h	0.19569064378738404	tensor(0.3192)	-2	0.3192145526409149
a n i e l ą	a n i e l ą	0.19342728853225707	tensor(0.3178)	-2	0.3177727162837982
t a b l e t k u j e	t a b l e t k u j e	0.19476172924041749	tensor(0.3186)	-2	0.3186259865760803
d o j i e	d o j u	0.07876160740852356	tensor(0.2002)	0	0.2001592069864273
n i e s i e k n i ę t y c h	n i e s i e k n i ę t y c h	0.19598145484924318	tensor(0.3194)	-2	0.319397896528244
z a w ł ó c z y ł y b y   s i ę	z a w ł ó c z y ł y b y   s i ę	0.1965441584587097	tensor(0.3198)	-2	0.31975141167640686
s z o ł o m i ą c e j	s z o ł o m i ą c e j	0.19237934350967406	tensor(0.3171)	-2	0.31709620356559753
k a c e r s k u	k a c e r s k u	0.1949656128883362	tensor(0.3188)	-2	0.31875553727149963
n i e o k u l e n i u	n i e o k u l e n i u	0.19444159269332886	tensor(0.3184)	-2	0.3184221088886261
n i e o ś m n a s t o l e t n i ą	n i e o ś m n a s t o l e t n i ą	0.19601967334747314	tensor(0.3194)	-2	0.3194219470024109
n i e u z i e m i o n e	n i e u z i e m i o n e	0.1952232837677002	tensor(0.3189)	-2	0.31891897320747375
n i e u g ł a d z e n i a   s i ę	n i e u g ł a d z e n i a   s i ę	0.1867948055267334	tensor(0.3134)	-2	0.3133939802646637
n i e o t r z e ź w i a ł y	n i e o t r z e ź w i a ł y	0.19163485765457153	tensor(0.3166)	-2	0.3166121244430542
w y c z y s z c z a j ą c	w y c z y s z c z a j ą c	0.19364992380142212	tensor(0.3179)	-2	0.3179157078266144
p r o c e n t o w n i	p r o c e n t o w n i	0.1915749192237854	tensor(0.3166)	-2	0.31657302379608154
n i e z e s z ł o t y g o d n i o w o ś c i ą	n i e z e s z ł o t y g o d n i o w o ś c i ą	0.19726494550704957	tensor(0.3202)	-2	0.32020193338394165
n i e p r z e g a l o p o w a n i a   s i ę	n i e p r z e g a l o p o w a n i a   s i ę	0.1871015429496765	tensor(0.3136)	-2	0.31360161304473877
f u n d a m e n t o w o ś c i a c h	f u n d a m e n t o w o ś c i a c h	0.19655712842941284	tensor(0.3198)	-2	0.3197595477104187
k a r i m a t a c h	k a r i m a t a c h	0.19344403743743896	tensor(0.3178)	-2	0.3177834749221802
n i e l o m b a r d z k i e j	n i e l o m b a r d z k i e j	0.19540482759475708	tensor(0.3190)	-2	0.3190339207649231
p ł a t n i c a m i	p ł a t n i c a m i	0.1933987021446228	tensor(0.3178)	-2	0.317754328250885
n i e g u b e r n a t o r s k o ś c i a c h	n i e g u b e r n a t o r s k o ś c i a c h	0.19664127826690675	tensor(0.3198)	-2	0.3198122978210449
z g r z e c z n i e n i u	z g r z e c z n i e n i u	0.1928663969039917	tensor(0.3174)	-2	0.317411333322525
b ę d z i e c i e   p o d z w a n i a ł y	b ę d z i e c i e   p o d z w a n i a ł y	0.1963222861289978	tensor(0.3196)	-2	0.3196122348308563
m a l e n i e c z k i	m a l e n i e c z k i	0.19555469751358032	tensor(0.3191)	-2	0.3191286623477936
b ę d z i e m y   p o d ł a z i l i	b ę d z i e m y   p o d ł a z i l i	0.1858546495437622	tensor(0.3128)	-2	0.31275442242622375
b ę d z i e c i e   a n g i e l s z c z y ł y	b ę d z i e c i e   a n g i e l s z c z y ł y	0.19676470756530762	tensor(0.3199)	-2	0.31988954544067383
n i e l i l i o w o n i e b i e s k i e m u	n i e l i l i o w o n i e b i e s k i e m u	0.19388824701309204	tensor(0.3181)	-2	0.3180685043334961
p o t r z ą c h a n i e	p o t r z ą c h a n i e	0.19632867574691773	tensor(0.3196)	-2	0.3196162283420563
p o c h w y t ó w	p o c h w y t ó w	0.1926013469696045	tensor(0.3172)	-2	0.31723999977111816
l i t e r n i c z k ą	l i t e r n i c z k ą	0.19210104942321776	tensor(0.3169)	-2	0.3169155716896057
n i e z w i k ł a n i a c h   s i ę	n i e z w i k ł a n i a c h   s i ę	0.19575891494750977	tensor(0.3193)	-2	0.31925761699676514
k w a l i f i k a c j i	k w a l i f i k a c j i	0.1781325101852417	tensor(0.3073)	-2	0.30731910467147827
o d w d z i ę c z a j ą c e   s i ę	o d w d z i ę c z a j ą c e   s i ę	0.19429599046707152	tensor(0.3183)	-2	0.31832921504974365
p o p r o s z e n i a	p o p r o s z e n i a	0.19376249313354493	tensor(0.3180)	-2	0.31798791885375977
m a c i e ń k i e	m a c i e ń k i e	0.19614452123641968	tensor(0.3195)	-2	0.31950050592422485
n i e b a s t o w a n i e	n i e b a s t o w a n i e	0.19546911716461182	tensor(0.3191)	-2	0.3190745711326599
p r z e w ę d z i l i ś c i e   s i ę	p r z e w ę d z i l i ś c i e   s i ę	0.19648834466934204	tensor(0.3197)	-2	0.3197164535522461
l e g o m i n i e	l e g o m i n i e	0.19381388425827026	tensor(0.3180)	-2	0.31802088022232056
z ł o c ą c y   s i ę	z ł o c ą c y   s i ę	0.1946033716201782	tensor(0.3185)	-2	0.31852519512176514
p r z y m n o ż y l i ś c i e	p r z y m n o ż y l i ś c i e	0.1933181643486023	tensor(0.3177)	-2	0.3177025318145752
n a t r y s n i ę t e j	n a t r y ś n i ę t e j	0.19587318897247313	tensor(0.3193)	-1	0.3193296790122986
n i e z a r y w a j ą c e   s i ę	n i e z a r y w a j ą c e   s i ę	0.19243742227554322	tensor(0.3171)	-2	0.3171338438987732
z a t ł o c z m y	z a t ł o c z m y	0.18836393356323242	tensor(0.3145)	-2	0.31445086002349854
o k r o j n i c ę	o k r o j n i c ę	0.192707359790802	tensor(0.3173)	-2	0.31730857491493225
p r o s t a k o w i e	p r o s t a c y	0.18993520736694336	tensor(0.3155)	3	0.3154961168766022
w i a n u j ę	w i a n u j ę	0.1960127592086792	tensor(0.3194)	-2	0.3194175958633423
n i e p r z e s ą d z a n i e m	n i e p r z e s ą d z a n i e m	0.19512429237365722	tensor(0.3189)	-2	0.31885623931884766
r o z m i o t u j ą c e	r o z m i o t y w a j ą c e	0.19601211547851563	tensor(0.3194)	1	0.31941717863082886
n i e p o z a w i e s z a n e m u	n i e p o z a w i e s z a n e m u	0.19636563062667847	tensor(0.3196)	-2	0.3196394443511963
n i e s i n i e n i a	n i e s i n i e n i a	0.1969267964363098	tensor(0.3200)	-2	0.31999093294143677
p u s t y n i e l i b y ś c i e	p u s t y n n i e l i b y ś c i e	0.17005352973937987	tensor(0.3013)	-1	0.30127397179603577
w y t l e w a j ą c e m u   s i ę	w y t l e w a j ą c e m u   s i ę	0.19453953504562377	tensor(0.3185)	-2	0.3184845447540283
n i e z e s t y g n i ę t e	n i e z e s t y g n i ę t e	0.19439966678619386	tensor(0.3184)	-2	0.31839537620544434
w y t r o p i e n i a   s i ę	w y t r o p i e n i a   s i ę	0.19607822895050048	tensor(0.3195)	-2	0.31945881247520447
n i e w i e d ź m o w y c h	n i e w i e d ź m o w y c h	0.16144410371780396	tensor(0.2944)	-2	0.2944088578224182
w ę ź l a s t a	w ę ź l a s t a	0.19127705097198486	tensor(0.3164)	-2	0.3163784444332123
d r y g a n t a c h	d r y g a n t a c h	0.19345273971557617	tensor(0.3178)	-2	0.31778907775878906
o p r z y r z ą d o w y w a n e g o	o p r z y r z ą d o w y w a n e g o	0.19416639804840088	tensor(0.3182)	-2	0.31824642419815063
r o z p o r z ą d z o n y m i	r o z p o r z ą d z o n y m i	0.17823343276977538	tensor(0.3074)	-2	0.30739226937294006
p o s ą d z a j ą c e m u	p o s ą d z a j ą c e m u	0.19560391902923585	tensor(0.3192)	-2	0.31915977597236633
b ę d z i e s z   d o n o s i ł o   s i ę	b ę d z i e s z   d o n o s i ł o   s i ę	0.1922077178955078	tensor(0.3170)	-2	0.3169848620891571
n i e t e r y g e n i c z n o ś c i a c h	n i e t e r y g e n i c z n o ś c i a c h	0.19574642181396484	tensor(0.3192)	-2	0.3192497193813324
n i e z a n i e p r z y j a ź n i o ś c i ą	n i e z a n i e p r z y j a ź n i o n o ś c i ą	0.1889755368232727	tensor(0.3149)	0	0.3148592710494995
o s w o j e c i e   s i ę	o s w o i c i e   s i ę	0.19105080366134644	tensor(0.3162)	0	0.31623032689094543
p ó ł r o z w i ą z a ń	p ó ł r o z w i ą z a ń	0.1967008113861084	tensor(0.3198)	-2	0.31984958052635193
s p a ź n i a ł a b y m   s i ę	s p a ź n i a ł a b y m   s i ę	0.19502038955688478	tensor(0.3188)	-2	0.3187903165817261
n i e o d c i s n i ę t e	n i e o d c i ś n i ę t e	0.19479902982711791	tensor(0.3186)	-1	0.3186497092247009
p ó ł t o r a r o c z n o ś c i	p ó ł t o r a r o c z n o ś c i	0.19582439661026002	tensor(0.3193)	-2	0.3192989230155945
b ę d z i e c i e   z a l e c a ł y	b ę d z i e c i e   z a l e c a ł y	0.19534668922424317	tensor(0.3190)	-2	0.3189971148967743
z w i t c e	z w i t c e	0.19283945560455323	tensor(0.3174)	-2	0.3173939287662506
n i e p o d ź w i g a j ą c y   s i ę	n i e p o d ź w i g a j ą c y   s i ę	0.18573392629623414	tensor(0.3127)	-2	0.3126719295978546
s z a t a n i a ł e m	s z a t a n i a ł e m	0.19470303058624266	tensor(0.3186)	-2	0.31858864426612854
n i e z a ż a r t e m u	n i e z a ż a r t e m u	0.19683810472488403	tensor(0.3199)	-2	0.31993547081947327
n i e z a m i e r z e n i a	n i e z a m i e r z e n i a	0.18414735794067383	tensor(0.3116)	-2	0.3115808367729187
w i d y m a t ę	w i d y m a t ę	0.19409427642822266	tensor(0.3182)	-2	0.31820034980773926
z l e w n i c ę	z l e w n i c ę	0.1910633325576782	tensor(0.3162)	-2	0.31623855233192444
w y c i e ń c z y l i ś c i e	w y c i e ń c z y l i ś c i e	0.19188307523727416	tensor(0.3168)	-2	0.31677383184432983
p o r o z u m n i e n i a	p o r o z u m n i e n i a	0.18758690357208252	tensor(0.3139)	-2	0.31392914056777954
n i e p o r z ą d n i e j s z e j	n i e p o r z ą d n i e j s z e j	0.1955662488937378	tensor(0.3191)	-2	0.31913596391677856
z a r y g l o w a n i a c h   s i ę	z a r y g l o w a n i a c h   s i ę	0.19381256103515626	tensor(0.3180)	-2	0.3180200159549713
d o s y ł a n i e   s i ę	d o s y ł a n i e   s i ę	0.196963632106781	tensor(0.3200)	-2	0.32001394033432007
