prediction	target	average probability	entropy	dist
c h r u s t a ł a	c h r u s t a ł a	0.032565115764737126	0.015600900165736675	-2
n i e ś w i a t ł o ż ą d n y c h	n i e ś w i a t ł o ż ą d n y c h	0.03563423492014408	0.017162319272756577	-2
n i e p l u s k o c z ą c e	n i e p l u s k o c z ą c e	0.02239154689013958	1.218714714050293	-2
p r z y p o d n u j ą c e m u   s i ę	p r z y p o d n o s z ą c e m u   s i ę	0.034167805686593056	0.8056153059005737	1
c u g o w o ś ć	c u g o w o ś ć	0.04421203061938286	0.014624770730733871	-2
p r z y w ę d z e ń	p r z y w ę d z e ń	0.02570413239300251	0.042453620582818985	-2
n i e o d p l a t a j ą c y m i   s i ę	n i e o d p l a t a j ą c y m i   s i ę	0.0345456812530756	0.05522424727678299	-2
n i e p r o f a s z y s t o w s k i c h	n i e p r o f a s z y s t o w s k i c h	0.0344753161072731	0.014151136390864849	-2
n i e w y d u d k a n y c h	n i e w y d u d k a n y c h	0.02942511737346649	0.015297522768378258	-2
k o n f o r m i z m i e	k o n f o r m i z m i e	0.0267533291131258	0.6676223278045654	-2
n i e k r z e s ł o w ą	n i e k r z e s ł o w ą	0.03520150780677796	0.012905553914606571	-2
u s t r a s z m y	u s t r a s z m y	0.030665818974375723	0.047477297484874725	-2
n i e w y h a m o w a n y c h	n i e w y h a m o w a n y c h	0.030686387047171592	0.013789351098239422	-2
z a d u m a n a	z a d u m a n a	0.04193695709109306	0.011472092010080814	-2
p o g l ą d o w o ś c i	p o g l ą d o w o ś c i	0.03184151388704777	0.018588382750749588	-2
n i e p r z e o b l e k a j ą c y m	n i e p r z e o b l e k a j ą c y m	0.029164029657840727	0.015412583947181702	-2
n i e d y g a j ą c y	n i e d y g a j ą c y	0.029219762608408927	0.020209742709994316	-2
r e p r e s y w n o ś c i	r e p r e s y w n o ś c i	0.03601822853088379	0.01562993787229061	-2
s m a r k n i j m y	s m a r k n i j m y	0.027735842764377593	0.04187757521867752	-2
t e r	t e r	0.10322619825601578	0.029830893501639366	-2
n i e u m u z y k a l n i e ń	n i e u m u z y k a l n i e ń	0.02573520876467228	0.019037485122680664	-2
n i e z a d z i o b u j ą c y   s i ę	n i e z a d z i o b u j ą c y   s i ę	0.04089560806751251	0.01663012057542801	-2
k o k i e t e r y j n y	k o k i e t e r y j n y	0.0422706164419651	0.01385587640106678	-2
p r z e m a r z a j ą c e j	p r z e m a r z a j ą c e j	0.029162605851888658	0.018104491755366325	-2
n i e o d ś w i e t l o n y m i	n i e o d ś w i e t l o n y m i	0.02919287122786045	0.01723528653383255	-2
w b i e c l i ś c i e	w b i e g l i ś c i e	0.02680751644074917	0.7987514138221741	-1
o f i c e r k ó w	o f i c e r k ó w	0.032565193623304366	0.06430920958518982	-2
w a ś n i c i e	w a ś n i s z	0.02282704822719097	1.0320849418640137	1
n a k a r b o w a n ą	n a k a r b o w a n ą	0.03409601114690304	0.012450962327420712	-2
p o w i n o w a c i e   s i ę	p o w i n o w a c i   s i ę	0.02017878368496895	1.5363582372665405	-1
o d t ł u ś c i ł o b y m   s i ę	o d t ł u ś c i ł o b y m   s i ę	0.03235172741115093	0.6491992473602295	-2
p a r a f r a z u j   s i ę	p a r a f r a z u j   s i ę	0.03014306500554085	0.026714732870459557	-2
n i e w e ł n o d a j n o ś c i	n i e w e ł n o d a j n o ś c i	0.03596343845129013	0.017072713002562523	-2
l u f s k u	l u f s k u	0.03905957862734795	0.4437887668609619	-2
n i e i d e a l i s t y c z n o ś c i	n i e i d e a l i s t y c z n o ś c i	0.03615432754158974	0.018917543813586235	-2
b ę d z i e c i e   o ś m i e w a l i	b ę d z i e c i e   o ś m i e w a l i	0.03473352864384651	0.015415518544614315	-2
m i o d n y m	m i o d n y m	0.045686953514814374	0.013496273197233677	-2
l i t o g r a f o w a ł y ś c i e   s i ę	l i t o g r a f o w a ł y ś c i e   s i ę	0.04422785565257072	0.01418832316994667	-2
r u l o w a n e j	r u l o w a n e j	0.03488539904356003	0.013404851779341698	-2
b ę d z i e s z   g l a n s o w a ł o   s i ę	b ę d z i e s z   g l a n s o w a ł o   s i ę	0.043064481019973753	0.04295375570654869	-2
n i e b u l k o c ą c y m i	n i e b u l k o c z ą c y m i	0.029221943765878677	0.9190651178359985	-1
n i e s o l a n k o w a n e	n i e s o l a n k o w a n e	0.034030957520008086	0.01495325192809105	-2
n i e p o z a o b o w i ą z k o w y m	n i e p o z a o b o w i ą z k o w y m	0.029536015540361404	0.01645144261419773	-2
