prediction	target	average probability	entropy	edit_distance	uncertainty_value
n i e p r z e p c h a n i a	n i e p r z e p c h a n i a	0.19659367799758912	tensor(0.3198)	-2	0.31978246569633484
o d l u d n o ś ć	o d l u d n o ś ć	0.1739576578140259	tensor(0.3042)	-2	0.3042421042919159
p a c a ł y b y ś c i e	p a c a ł y b y ś c i e	0.19660674333572387	tensor(0.3198)	-2	0.31979066133499146
b ę d z i e c i e   o m ą c z a ł y	b ę d z i e c i e   o m ą c z a ł y	0.1948211669921875	tensor(0.3187)	-2	0.3186637759208679
n i e o s i w i o n e m u	n i e o s i w i o n e m u	0.19508692026138305	tensor(0.3188)	-2	0.31883251667022705
n i e p i s y w a n y c h	n i e p i s y w a n y c h	0.19637598991394042	tensor(0.3196)	-2	0.3196459412574768
n i e w y s k a r ż a j ą c e m u   s i ę	n i e w y s k a r ż a j ą c e m u   s i ę	0.19754728078842163	tensor(0.3204)	-2	0.3203777074813843
p o u w ł a s z c z e n i o w y c h	p o u w ł a s z c z e n i o w y c h	0.19500313997268676	tensor(0.3188)	-2	0.3187793493270874
n i e m i ę d z y g r o m a d z k o ś c i a c h	n i e m i ę d z y g r o m a d z k o ś c i a c h	0.1946813464164734	tensor(0.3186)	-2	0.31857484579086304
d ę t o l o g i e	d ę t o l o g i i	0.07278078198432922	tensor(0.3607)	-1	0.3607384264469147
j a w o r z n i c y	j a w o r z n i c c y	0.10003432035446166	tensor(0.4493)	-1	0.44925278425216675
n i e w i l k o w a t y m	n i e w i l k o w a t y m	0.1961695909500122	tensor(0.3195)	-2	0.31951627135276794
p r z e s i ą k r a c h	p r z e s i ą k r a c h	0.19521156549453736	tensor(0.3189)	-2	0.3189115524291992
w y p i ę k n i a l i b y	w y p i ę k n i a l i b y	0.19671744108200073	tensor(0.3199)	-2	0.31985998153686523
o z i e w a ł o b y ś	o z i e w a ł o b y ś	0.19710153341293335	tensor(0.3201)	-2	0.3201000392436981
