prediction	target	average probability	entropy	dist
c h r u s t a ł a	c h r u s t a ł a	0.033703688159585	0.012368682771921158	-2
n i e ś w i a t ł o ż ą d n y c h	n i e ś w i a t ł o ż ą d n y c h	0.03165814876556396	0.025616861879825592	-2
n i e p l u s k o c z ą c e	n i e p l u s k o c z ą c e	0.022873294353485108	0.9857912063598633	-2
p r z y p o d n u j ą c e m u   s i ę	p r z y p o d n o s z ą c e m u   s i ę	0.03130738623440266	0.3873654007911682	1
c u g o w o ś ć	c u g o w o ś ć	0.04027005508542061	0.017107384279370308	-2
p r z y w ę d z e ń	p r z y w ę d z e ń	0.027952374890446663	0.027105877175927162	-2
n i e o d p l a t a j ą c y m i   s i ę	n i e o d p l a t a j ą c y m i   s i ę	0.04078448042273521	0.04180432856082916	-2
n i e p r o f a s z y s t o w s k i c h	n i e p r o f a s z y s t o w s k i c h	0.034354354813694955	0.016393067315220833	-2
n i e w y d u d k a n y c h	n i e w y d u d k a n y c h	0.030256571248173714	0.013882262632250786	-2
k o n f o r m i z m i e	k o n f o r m i z m i e	0.024686722829937936	0.5913801193237305	-2
n i e k r z e s ł o w ą	n i e k r z e s ł o w ą	0.03758285418152809	0.012752949260175228	-2
u s t r a s z m y	u s t r a s z m y	0.029213296994566918	0.05421604961156845	-2
n i e w y h a m o w a n y c h	n i e w y h a m o w a n y c h	0.029783432185649873	0.015913449227809906	-2
z a d u m a n a	z a d u m a n a	0.03626465201377869	0.013940262608230114	-2
p o g l ą d o w o ś c i	p o g l ą d o w o ś c i	0.030514385923743247	0.02439332753419876	-2
n i e p r z e o b l e k a j ą c y m	n i e p r z e o b l e k a j ą c y m	0.029527638852596284	0.014139033854007721	-2
n i e d y g a j ą c y	n i e d y g a j ą c y	0.03095093257725239	0.01559110451489687	-2
r e p r e s y w n o ś c i	r e p r e s y w n o ś c i	0.036227282136678696	0.01594528928399086	-2
s m a r k n i j m y	s m a r k n i j m y	0.028093113377690316	0.03774477541446686	-2
t e r	t e r	0.1039459228515625	0.02327052876353264	-2
n i e u m u z y k a l n i e ń	n i e u m u z y k a l n i e ń	0.02686620280146599	0.01743231900036335	-2
n i e z a d z i o b u j ą c y   s i ę	n i e z a d z i o b u j ą c y   s i ę	0.039691224694252014	0.01681550033390522	-2
k o k i e t e r y j n y	k o k i e t e r y j n y	0.04183013886213303	0.01615695282816887	-2
p r z e m a r z a j ą c e j	p r z e m a r z a j ą c e j	0.028487269580364228	0.020548373460769653	-2
n i e o d ś w i e t l o n y m i	n i e o d ś w i e t l o n y m i	0.03129376545548439	0.043353062123060226	-2
w b i e c l i ś c i e	w b i e g l i ś c i e	0.02962387204170227	0.41036567091941833	-1
o f i c e r k ó w	o f i c e r k ó w	0.03413429856300354	0.035502441227436066	-2
w a ś n i e s z	w a ś n i s z	0.022234951704740526	1.0805341005325317	-1
n a k a r b o w a n ą	n a k a r b o w a n ą	0.0355300385504961	0.014343519695103168	-2
p o w i n u j e   s i ę	p o w i n o w a c i   s i ę	0.029630580544471742	0.6115791201591492	3
o d t ł u s z c i ł o b y m   s i ę	o d t ł u ś c i ł o b y m   s i ę	0.028010984882712364	1.158598780632019	0
p a r a f r a z u j   s i ę	p a r a f r a z u j   s i ę	0.029786327108740806	0.02345385029911995	-2
n i e w e ł n o d a j n o ś c i	n i e w e ł n o d a j n o ś c i	0.03582408130168915	0.019664419814944267	-2
l u f s k u	l u f s k u	0.035764697939157486	0.483095645904541	-2
n i e i d e a l i s t y c z n o ś c i	n i e i d e a l i s t y c z n o ś c i	0.03320118635892868	0.02524918131530285	-2
b ę d z i e c i e   o ś m i e w a l i	b ę d z i e c i e   o ś m i e w a l i	0.0355492040514946	0.016843797639012337	-2
m i o d n y m	m i o d n y m	0.03671871237456799	0.012355263344943523	-2
l i t o g r a f o w a ł y ś c i e   s i ę	l i t o g r a f o w a ł y ś c i e   s i ę	0.04755801483988762	0.014207592234015465	-2
r u l o w a n e j	r u l o w a n e j	0.03743557631969452	0.011640626937150955	-2
b ę d z i e s z   g l a n s o w a ł o   s i ę	b ę d z i e s z   g l a n s o w a ł o   s i ę	0.04049201272428036	0.027034835889935493	-2
n i e b u l k o c z ą c y m i	n i e b u l k o c z ą c y m i	0.028775086626410484	0.9719269275665283	-2
n i e s o l a n k o w a n e	n i e s o l a n k o w a n e	0.03671393543481827	0.018076524138450623	-2
n i e p o z a o b o w i ą z k o w y m	n i e p o z a o b o w i ą z k o w y m	0.02819559574127197	0.02432684227824211	-2
o b i e c u j ą c y c h	o b i e c u j ą c y c h	0.026262760162353516	0.03847838193178177	-2
e s t e t y z u j ą c e	e s t e t y z u j ą c e	0.02910681627690792	0.018795832991600037	-2
n i e n o r m a n d z k i c h	n i e n o r m a n d z k i c h	0.02881305441260338	0.01825232245028019	-2
n i e z d r a p y w a n y m	n i e z d r a p y w a n y m	0.02729242742061615	0.014200367033481598	-2
o z n a j m o w a ł a   s i ę	o z n a j m o w a ł a   s i ę	0.03473103605210781	0.014459225349128246	-2
b ę d z i e s z   r o z c i e r a ł o	b ę d z i e s z   r o z c i e r a ł o	0.031180213019251824	0.03362014517188072	-2
n i e n i u a n s o w a n i e	n i e n i u a n s o w a n i e	0.02449481524527073	0.02435113489627838	-2
n i e p o s z u f l a d k o w a n i u	n i e p o s z u f l a d k o w a n i u	0.028181883320212365	0.017797932028770447	-2
d w u z n a c z n a	d w u z n a c z n a	0.04108703956007957	0.014438317157328129	-2
n i e s k o p e r o w a n e j	n i e s k o o p e r o w a n e j	0.03588489145040512	0.5990936756134033	-1
e l e w k a m i	e l e w k a m i	0.03965337723493576	0.025600843131542206	-2
p r z e p o p i e l o n y c h	p r z e p o p i e l o n y c h	0.030295183509588243	0.058800533413887024	-2
o s k r o b u j ą c e	o s k r o b u j ą c e	0.026510430872440337	0.05674804374575615	-2
z a ż y d z a ł o m	z a ż y d z a ł o m	0.026993364468216895	0.017685091122984886	-2
z a l ę k n i ę t e	z a l ę k n i ę t e	0.03805786520242691	0.014887623488903046	-2
n i e t u r b o ś m i g ł o w o ś ć	n i e t u r b o ś m i g ł o w o ś ć	0.028400372713804245	0.019738364964723587	-2
n i e w o k a l n y m	n i e w o k a l n y m	0.02993009388446808	0.012180613353848457	-2
b ę d z i e c i e   c z ł o n o w a ł y	b ę d z i e c i e   c z ł o n o w a ł y	0.03163237310945988	0.020104603841900826	-2
u z w o j e n i u	u z w o j e n i u	0.0288808673620224	0.09916197508573532	-2
f l a d e r k o w a ł y b y	f l a d e r k o w a ł y b y	0.027776944264769555	0.0154143450781703	-2
w l e ź c i e	w l e z i e c i e	0.027987632900476456	0.6147818565368652	1
b ę d ę   u p e r l a ł o   s i ę	b ę d ę   u p e r l a ł o   s i ę	0.033822642639279366	0.0269623976200819	-2
p o t a s o w o ś c i	p o t a s o w o ś c i	0.03665910214185715	0.01355094462633133	-2
s p i e r n i c z e l i ś c i e	s p i e r n i c z e l i ś c i e	0.028310976177453994	0.2459334433078766	-2
n i e k o p u l u j ą c y	n i e k o p u l u j ą c y	0.029366638138890268	0.014093678444623947	-2
n a j t r y w i a l n i e j s z y m	n a j t r y w i a l n i e j s z y m	0.02804817445576191	0.022695550695061684	-2
n i e o d k o d o w y w a n y c h	n i e o d k o d o w y w a n y c h	0.027658803015947343	0.018239513039588928	-2
r o z d z i e w i c z a j ą c e	r o z d z i e w i c z a j ą c e	0.026175306737422945	0.22599191963672638	-2
n i e o d p t a s z k o w y w a n y m	n i e o d p t a s z k o w y w a n y m	0.027873488515615462	0.019882142543792725	-2
r o z p ł a w i o n ą	r o z p ł a w i o n ą	0.031898993998765945	0.01994783617556095	-2
s z a p t a l i z u j ą c y m   s i ę	s z a p t a l i z u j ą c y m   s i ę	0.03143657222390175	0.014317910186946392	-2
p r z e m a r n o w y w a n e j	p r z e m a r n o w y w a n e j	0.03299714364111424	0.016842156648635864	-2
t a p l a l i ś m y   s i ę	t a p l a l i ś m y   s i ę	0.034670105949044225	0.014749717898666859	-2
o d p o z n a w a ł y	o d p o z n a w a ł y	0.03471856527030468	0.019379926845431328	-2
k a s a r a c h	k a s a r a c h	0.031025057658553123	0.023127442225813866	-2
d e p a n s o w a n y m	d e p a n s o w a n y m	0.02729452885687351	0.01967031881213188	-2
n i e u p o ż y t e c z n i e n i	n i e u p o ż y t e c z n i e n i	0.03383331298828125	0.03794535622000694	-2
