prediction	target	average probability	entropy	dist
c h r u s t a ł a	c h r u s t a ł a	0.030696701258420944	0.017970388755202293	-2
n i e ś w i a t ł o ż ą d n y c h	n i e ś w i a t ł o ż ą d n y c h	0.031841960921883586	0.66675865650177	-2
p l u s k o t a j ą c e	n i e p l u s k o c z ą c e	0.022831087931990623	1.2621538639068604	4
p r z y p o d n u j ą c e m u   s i ę	p r z y p o d n o s z ą c e m u   s i ę	0.03424090966582298	0.5947907567024231	1
c u g o w o ś ć	c u g o w o ś ć	0.038564742729067805	0.0202525295317173	-2
p r z y w ę d z e ń	p r z y w ę d z e ń	0.0240621667355299	0.5067344307899475	-2
n i e o d p l a t a j ą c y m i   s i ę	n i e o d p l a t a j ą c y m i   s i ę	0.04002652317285538	0.0215296633541584	-2
n i e p r o f a s z y s t o w s k i c h	n i e p r o f a s z y s t o w s k i c h	0.030855737254023553	0.02501586638391018	-2
n i e w y d u d k a n y c h	n i e w y d u d k a n y c h	0.027736653015017508	0.02177329547703266	-2
k o n f o r m i z m i e	k o n f o r m i z m i e	0.030499384552240372	0.6196913123130798	-2
n i e k r z e s ł o w ą	n i e k r z e s ł o w ą	0.03128274716436863	0.01742488332092762	-2
u s t r a s z m y	u s t r a s z m y	0.027008401975035668	0.02662847377359867	-2
n i e w y h a m o w a n y c h	n i e w y h a m o w a n y c h	0.027876460924744606	0.023472173139452934	-2
z a d u m a n a	z a d u m a n a	0.03472774624824524	0.020451616495847702	-2
p o g l ą d o w o ś c i	p o g l ą d o w o ś c i	0.03424459770321846	0.02219606190919876	-2
n i e p r z e o b l e k a j ą c y m	n i e p r z e o b l e k a j ą c y m	0.02690103240311146	0.026891635730862617	-2
n i e d y g a j ą c y	n i e d y g a j ą c y	0.031538055278360844	0.022117478772997856	-2
r e p r e s y w n o ś c i	r e p r e s y w n o ś c i	0.041161321103572845	0.02018335647881031	-2
s m a r k n ę j m y	s m a r k n i j m y	0.025129078328609465	0.4614889621734619	-1
t e r	t e r	0.0897489070892334	0.06541575491428375	-2
n i e u m u z y k a l n i a ń	n i e u m u z y k a l n i e ń	0.022011609748005867	1.007751226425171	-1
n i e z a d z i o b u j ą c y   s i ę	n i e z a d z i o b u j ą c y   s i ę	0.03686471395194531	0.030621668323874474	-2
k o k i e t e r y j n y	k o k i e t e r y j n y	0.03768784068524837	0.025454171001911163	-2
p r z e m a r z a j ą c e j	p r z e m a r z a j ą c e j	0.02682500220835209	0.018408847972750664	-2
n i e o d ś w i e t l o n y m i	n i e o d ś w i e t l o n y m i	0.0267849363386631	0.027859816327691078	-2
w b i e c l i ś c i e	w b i e g l i ś c i e	0.024288059026002885	0.5246546268463135	-1
o f i c e r k ó w	o f i c e r k ó w	0.036834226548671724	0.02542537823319435	-2
w a ś n i e j e c i e	w a ś n i s z	0.02248525060713291	0.5247361660003662	4
n a k a r b o w a n ą	n a k a r b o w a n ą	0.03139143884181976	0.019965820014476776	-2
p o w i n u j e   s i ę	p o w i n o w a c i   s i ę	0.017154252901673318	1.463900089263916	3
o d t ł u ś c i ł o b y m   s i ę	o d t ł u ś c i ł o b y m   s i ę	0.029827045276761055	0.028878793120384216	-2
p a r a f r a z u j   s i ę	p a r a f r a z u j   s i ę	0.028785451129078866	0.01943075656890869	-2
n i e w e ł n o d a j n o ś c i	n i e w e ł n o d a j n o ś c i	0.035859696194529535	0.02257380448281765	-2
l u f s k u	l u f s k u	0.028847046196460724	1.0492172241210938	-2
n i e i d e a l i s t y c z n o ś c i	n i e i d e a l i s t y c z n o ś c i	0.032888954505324364	0.025317110121250153	-2
b ę d z i e c i e   o ś m i e w a l i	b ę d z i e c i e   o ś m i e w a l i	0.030677415430545807	0.019806284457445145	-2
m i o d n y m	m i o d n y m	0.043443169072270395	0.013051841408014297	-2
l i t o g r a f o w a ł y ś c i e   s i ę	l i t o g r a f o w a ł y ś c i e   s i ę	0.052463899552822116	0.016743671149015427	-2
r u l o w a n e j	r u l o w a n e j	0.032830004766583445	0.01886066608130932	-2
b ę d z i e s z   g l a n s o w a ł o   s i ę	b ę d z i e s z   g l a n s o w a ł o   s i ę	0.04182687848806381	0.045516062527894974	-2
n i e b u l k o t a j ą c y m i	n i e b u l k o c z ą c y m i	0.02780477926135063	0.3781748116016388	1
n i e s o l a n k o w a n e	n i e s o l a n k o w a n e	0.03555614650249481	0.018130293115973473	-2
n i e p o z a o b o w i ą z k o w y m	n i e p o z a o b o w i ą z k o w y m	0.031982197612524035	0.07470912486314774	-2
o b i e c u j ą c y c h	o b i e c u j ą c y c h	0.027752016112208365	0.04346088320016861	-2
e s t e t y z u j ą c e	e s t e t y z u j ą c e	0.027298616990447045	0.031605735421180725	-2
n i e n o r m a n d z k i c h	n i e n o r m a n d z k i c h	0.03055337965488434	0.02016017958521843	-2
n i e z d r a p y w a n y m	n i e z d r a p y w a n y m	0.028391793370246887	0.016350865364074707	-2
o z n a j m o w a ł a   s i ę	o z n a j m o w a ł a   s i ę	0.030366134271025656	0.01645595394074917	-2
b ę d z i e s z   r o z c i e r a ł o	b ę d z i e s z   r o z c i e r a ł o	0.02534000240266323	0.0835363119840622	-2
n i e n i u a n s o w a n i e	n i e n i u a n s o w a n i e	0.0236583411693573	0.032737262547016144	-2
n i e p o s z u f l a d k o w a n i u	n i e p o s z u f l a d k o w a n i u	0.028700388222932815	0.020534951239824295	-2
d w u z n a c z n a	d w u z n a c z n a	0.03784769997000694	0.01667611673474312	-2
n i e s k o p e r o w a n e j	n i e s k o o p e r o w a n e j	0.03417365290224552	0.49216514825820923	-1
e l e w k a m i	e l e w k a m i	0.030039004608988763	0.26486605405807495	-2
p r z e p o p i e l o n y c h	p r z e p o p i e l o n y c h	0.026519277691841127	0.6262336373329163	-2
o s k r o b u j ą c e	o s k r o b u j ą c e	0.029293621331453322	0.02234913408756256	-2
z a ż y d z a ł o m	z a ż y d z a ł o m	0.02730106972157955	0.03247036784887314	-2
z a l ę k n i ę t e	z a l ę k n i ę t e	0.029940949007868766	0.032326120883226395	-2
n i e t u r b o ś m i g ł o w o ś ć	n i e t u r b o ś m i g ł o w o ś ć	0.0263735543936491	0.03158025071024895	-2
n i e w o k a l n y m	n i e w o k a l n y m	0.034845675155520436	0.015452362596988678	-2
b ę d z i e c i e   c z ł o n o w a ł y	b ę d z i e c i e   c z ł o n o w a ł y	0.029325472190976143	0.02515006810426712	-2
u z w o j e n i u	u z w o j e n i u	0.0292845755815506	0.03308093175292015	-2
f l a d e r k o w a ł y b y	f l a d e r k o w a ł y b y	0.02529962845146656	0.018713220953941345	-2
w l e ź c i e	w l e z i e c i e	0.021077194064855576	1.3398603200912476	1
b ę d ę   u p e r l a ł o   s i ę	b ę d ę   u p e r l a ł o   s i ę	0.03435351401567459	0.033824410289525986	-2
p o t a s o w o ś c i	p o t a s o w o ś c i	0.04477858394384384	0.01861095428466797	-2
s p i e r n i c z e l i ś c i e	s p i e r n i c z e l i ś c i e	0.027380714565515517	0.018156325444579124	-2
n i e k o p u l u j ą c y	n i e k o p u l u j ą c y	0.029500154405832292	0.018869023770093918	-2
n a j t r y w i a l n i e j s z y m	n a j t r y w i a l n i e j s z y m	0.02402670569717884	0.1296764463186264	-2
n i e o d k o d o w y w a n y c h	n i e o d k o d o w y w a n y c h	0.02588798813521862	0.025897949934005737	-2
r o z d z i e w i c z a j ą c e	r o z d z i e w i c z a j ą c e	0.026142779365181924	0.023615030571818352	-2
n i e o d p t a s z k o w y w a n y m	n i e o d p t a s z k o w y w a n y m	0.026515550538897516	0.024938160553574562	-2
r o z p ł a w i o n ą	r o z p ł a w i o n ą	0.029163892194628716	0.029357165098190308	-2
s z a p t a l i z u j ą c y m   s i ę	s z a p t a l i z u j ą c y m   s i ę	0.034197111800313	0.015333550050854683	-2
p r z e m a r n o w y w a n e j	p r z e m a r n o w y w a n e j	0.03502476327121258	0.019162088632583618	-2
t a p l a l i ś m y   s i ę	t a p l a l i ś m y   s i ę	0.03572814017534256	0.023592812940478325	-2
o d p o z n a w a ł y	o d p o z n a w a ł y	0.028072530031204225	0.02085934765636921	-2
k a s a r a c h	k a s a r a c h	0.027028738707304	0.46503883600234985	-2
d e p a n s o w a n y m	d e p a n s o w a n y m	0.028775978460907937	0.029256757348775864	-2
n i e u p o ż y t e c z n i e n i	n i e u p o ż y t e c z n i e n i	0.029093117266893388	0.03463399410247803	-2
n i e p o w i e w n ą	n i e p o w i e w n ą	0.03391211032867432	0.015515782870352268	-2
n i e s u b t y l i z o w a n e j	n i e s u b t y l i z o w a n e j	0.03629194721579552	0.022216100245714188	-2
z a p r a ż a ł y b y ś m y	z a p r a ż a ł y b y ś m y	0.02979879304766655	0.018008070066571236	-2
n i e w s t r z ą s a j ą c y	n i e w s t r z ą s a j ą c y	0.023672517389059067	0.8556339740753174	-2
z n a r k o t y z o w a l i ś m y	z n a r k o t y z o w a l i ś m y	0.02943892851471901	0.017596175894141197	-2
p o t ę g o w ą	p o t ę g o w ą	0.03750853911042214	0.032788340002298355	-2
n i e k r ó c i u ś k o ś ć	n i e k r ó c i u ś k o ś ć	0.02969123236835003	0.040758296847343445	-2
c y k l i n o w a l i b y ś c i e   s i ę	c y k l i n o w a l i b y ś c i e   s i ę	0.04682895019650459	0.016492934897542	-2
n i e m a r s o w i e j ą c e	n i e m a r s o w i e j ą c e	0.0257965300232172	0.03767342120409012	-2
r o z b u d z a l i ś m y   s i ę	r o z b u d z a l i ś m y   s i ę	0.041141799092292784	0.016891950741410255	-2
b r y t	b r y t	0.07636233866214752	0.016904370859265327	-2
n i e m i n u s o w e	n i e m i n u s o w e	0.03961657136678696	0.014823575504124165	-2
n i e o b a t o ż o n e g o	n i e o b a t o ż o n e g o	0.03275968283414841	0.024643996730446815	-2
n i e o d z i e d z i c z a n i u   s i ę	n i e o d z i e d z i c z a n i u   s i ę	0.037930078059434894	0.020634908229112625	-2
o b t r a c a c i e   s i ę	o b t r a c a m y   s i ę	0.03356178030371666	0.34165915846824646	1
d e n d r o c h r o n o l o g i a c h	d e n d r o c h r o n o l o g i a c h	0.028874953091144562	0.6565821170806885	-2
n i e w y k a r c z e n i a	n i e w y k a r c z e n i a	0.022973279654979705	0.02591785043478012	-2
n i e e l i t a r n o ś c i	n i e e l i t a r n o ś c i	0.03312951400876045	0.0394500270485878	-2
z a w r ó c i ł y	z a w r ó c i ł y	0.03195946514606476	0.03189375251531601	-2
n i e g o s p o d a r z ą c a   s i ę	n i e g o s p o d a r z ą c a   s i ę	0.03870251439511776	0.05145353823900223	-2
p i ń s k a	p i ń s k a	0.046290330588817596	0.026168689131736755	-2
n i e n u r k o w ą	n i e n u r k o w ą	0.03739085793495178	0.016824932768940926	-2
s z y b c i u t k a	s z y b c i u t k a	0.034664451703429223	0.04024326056241989	-2
m e d i o l a ń s k a	m e d i o l a ń s k a	0.03201239109039307	0.02390725165605545	-2
p r z y j e n i a c h	p r z y j ś c i a c h	0.021062465757131575	1.1271114349365234	0
w p u k l a j ą c e	w p u k l a j ą c e	0.029344461485743524	0.01697923243045807	-2
p r z y c i e r a ł o ś   s i ę	p r z y c i e r a ł o ś   s i ę	0.0338835783302784	0.016440775245428085	-2
n i e ż a k o w s k i e	n i e ż a k o w s k i e	0.03271556831896305	0.01978432759642601	-2
