prediction	target	average probability	entropy	edit_distance	uncertainty_value
b ę d z i e c i e   o m ą c z a ł y	b ę d z i e c i e   o m ą c z a ł y	0.1964655637741089	tensor(0.3197)	-2	0.3197021484375
n i e o s i w i o n e m u	n i e o s i w i o n e m u	0.19527087211608887	tensor(0.3189)	-2	0.3189491033554077
p o u w ł a s z c z e n i o w y c h	p o u w ł a s z c z e n i o w y c h	0.19771261215209962	tensor(0.3205)	-2	0.32048043608665466
n i e m i ę d z y g r o m a d z k o ś c i a c h	n i e m i ę d z y g r o m a d z k o ś c i a c h	0.192649507522583	tensor(0.3173)	-2	0.3172711730003357
p r z e s i ą k r a c h	p r z e s i ą k r a c h	0.19535156488418579	tensor(0.3190)	-2	0.3190001845359802
n i e k a r n a w a ł o w a n i e	n i e k a r n a w a ł o w a n i e	0.19479585886001588	tensor(0.3186)	-2	0.31864768266677856
w y p o ś r o d k o w u j ą c e j	w y p o ś r o d k o w u j ą c e j	0.19307031631469726	tensor(0.3175)	-2	0.3175429105758667
n i e n a r o j e n i e m   s i ę	n i e n a r o j e n i e m   s i ę	0.19553580284118652	tensor(0.3191)	-2	0.3191167414188385
n i e p o m r o c z e n i a	n i e p o m r o c z e n i a	0.1889636754989624	tensor(0.3149)	-2	0.3148513734340668
b ę d z i e c i e   t ł a m s i ł y   s i ę	b ę d z i e c i e   t ł a m s i ł y   s i ę	0.1951883316040039	tensor(0.3189)	-2	0.3188968002796173
z a ł a t w i e n i u	z a ł a t w i e n i u	0.19219255447387695	tensor(0.3170)	-2	0.31697502732276917
s p r ó ż n o w a l i ś c i e   s i ę	s p r ó ż n o w a l i ś c i e   s i ę	0.1895408511161804	tensor(0.3152)	-2	0.3152350187301636
g o r d i n g ó w	g o r d i n g ó w	0.19106011390686034	tensor(0.3162)	-2	0.3162364363670349
p o p r z y k l e j a ł y ś m y	p o p r z y k l e j a ł y ś m y	0.1971782088279724	tensor(0.3201)	-2	0.32014787197113037
n i e h e k t o l i t r o w o ś c i a m i	n i e h e k t o l i t r o w o ś c i a m i	0.19624987840652466	tensor(0.3196)	-2	0.3195667266845703
b ę d z i e   r o z s i e r d z a ć	b ę d z i e   r o z s i e r d z a ć	0.1949126124382019	tensor(0.3187)	-2	0.31872186064720154
n i e p r z e p l e n i e n i a	n i e p r z e p l e n i e n i a	0.18991482257843018	tensor(0.3155)	-2	0.31548261642456055
z a s k l e p i a j ą c y	z a s k l e p i a j ą c y	0.19486021995544434	tensor(0.3187)	-2	0.3186885714530945
b a n d a ż o w a n e	b a n d a ż o w a n e	0.19682031869888306	tensor(0.3199)	-2	0.31992435455322266
n i e p o p r z e g l ą d a n i o m   s i ę	n i e p o p r z e g l ą d a n i o m   s i ę	0.19408596754074098	tensor(0.3182)	-2	0.31819504499435425
e s o w a j ą c ą	e s u j ą c ą	0.19346799850463867	tensor(0.3178)	1	0.3177988827228546
l n i a n o w ł o s o ś c i	l n i a n o w ł o s o ś c i	0.19228700399398804	tensor(0.3170)	-2	0.31703633069992065
b a r b e c u	b a r b e c u e	0.1722428560256958	tensor(0.3029)	-1	0.30294930934906006
w y w o ł y w a n y m i	w y w o ł y w a n y m i	0.19546036720275878	tensor(0.3191)	-2	0.3190690279006958
n i e w i o n e j	n i e w i t e j	0.19599109888076782	tensor(0.3194)	0	0.3194039463996887
