prediction	target	average probability	entropy	dist
c h r u s t a ł a	c h r u s t a ł a	0.03291866704821587	0.012263791635632515	-2
n i e ś w i a t ł o ż ą d n y c h	n i e ś w i a t ł o ż ą d n y c h	0.03365792222321033	0.08816323429346085	-2
n i e p l u s k o c z ą c e	n i e p l u s k o c z ą c e	0.024752316996455193	0.6338995695114136	-2
p r z y p o d n u j ą c e m u   s i ę	p r z y p o d n o s z ą c e m u   s i ę	0.031658193469047545	0.13444527983665466	1
c u g o w o ś ć	c u g o w o ś ć	0.04532398954033852	0.017275163903832436	-2
p r z y w ę d z e ń	p r z y w ę d z e ń	0.028240074589848518	0.026087770238518715	-2
n i e o d p l a t a j ą c y m i   s i ę	n i e o d p l a t a j ą c y m i   s i ę	0.03662845455110073	0.016271675005555153	-2
n i e p r o f a s z y s t o w s k i c h	n i e p r o f a s z y s t o w s k i c h	0.03591333478689194	0.015301336534321308	-2
n i e w y d u d k a n y c h	n i e w y d u d k a n y c h	0.031222066655755044	0.014586249366402626	-2
k o n f o r m i z m i e	k o n f o r m i z m i e	0.026753300055861472	0.250165730714798	-2
n i e k r z e s ł o w ą	n i e k r z e s ł o w ą	0.03358812630176544	0.012887200340628624	-2
u s t r a s z m y	u s t r a s z m y	0.029384926706552506	0.014876116998493671	-2
n i e w y h a m o w a n y c h	n i e w y h a m o w a n y c h	0.03162671290338039	0.018352990970015526	-2
z a d u m a n a	z a d u m a n a	0.03652831092476845	0.013461586087942123	-2
p o g l ą d o w o ś c i	p o g l ą d o w o ś c i	0.034508016705513	0.01929403468966484	-2
n i e p r z e o b l e k a j ą c y m	n i e p r z e o b l e k a j ą c y m	0.028385654836893082	0.01941813714802265	-2
n i e d y g a j ą c y	n i e d y g a j ą c y	0.032619701325893403	0.017579318955540657	-2
r e p r e s y w n o ś c i	r e p r e s y w n o ś c i	0.03799532577395439	0.0159909687936306	-2
s m a r k n i j m y	s m a r k n i j m y	0.027647542580962182	0.03564612567424774	-2
t e r	t e r	0.05651970356702805	1.1135333776474	-2
n i e u m u z y k a l n i e ń	n i e u m u z y k a l n i e ń	0.02559783197939396	0.046327900141477585	-2
n i e z a d z i o b u j ą c y   s i ę	n i e z a d z i o b u j ą c y   s i ę	0.03593881763517857	0.01892724633216858	-2
k o k i e t e r y j n y	k o k i e t e r y j n y	0.0461304135620594	0.019310222938656807	-2
p r z e m a r z a j ą c e j	p r z e m a r z a j ą c e j	0.0284642331302166	0.019032752141356468	-2
n i e o d ś w i e t l o n y m i	n i e o d ś w i e t l o n y m i	0.029635313525795938	0.04605833813548088	-2
w b i e c l i ś c i e	w b i e g l i ś c i e	0.026149791851639747	0.6723344326019287	-1
o f i c e r k ó w	o f i c e r k ó w	0.03727341517806053	0.023797236382961273	-2
w a ś n i e j e c i e	w a ś n i s z	0.021568039432168007	1.0511220693588257	4
n a k a r b o w a n ą	n a k a r b o w a n ą	0.03424151949584484	0.019629724323749542	-2
p o w i n o w a c   s i ę	p o w i n o w a c i   s i ę	0.015312334150075912	1.2391794919967651	-1
o d t ł u s z c i ł o b y m   s i ę	o d t ł u ś c i ł o b y m   s i ę	0.026481162384152414	1.1233446598052979	0
p a r a f r a z u j   s i ę	p a r a f r a z u j   s i ę	0.026153499260544777	0.0209350623190403	-2
n i e w e ł n o d a j n o ś c i	n i e w e ł n o d a j n o ś c i	0.03542652353644371	0.01983402483165264	-2
l u f s k u	l u f s k u	0.04032451808452606	0.021518005058169365	-2
n i e i d e a l i s t y c z n o ś c i	n i e i d e a l i s t y c z n o ś c i	0.03353736251592636	0.019433442503213882	-2
b ę d z i e c i e   o ś m i e w a l i	b ę d z i e c i e   o ś m i e w a l i	0.031818535551428793	0.015803959220647812	-2
m i o d n y m	m i o d n y m	0.04512413069605827	0.012598084285855293	-2
l i t o g r a f o w a ł y ś c i e   s i ę	l i t o g r a f o w a ł y ś c i e   s i ę	0.04186437502503395	0.012461673468351364	-2
r u l o w a n e j	r u l o w a n e j	0.03847959563136101	0.01231029350310564	-2
b ę d z i e s z   g l a n s o w a ł o   s i ę	b ę d z i e s z   g l a n s o w a ł o   s i ę	0.039867257326841356	0.022783225402235985	-2
n i e b u l k o c z ą c y m i	n i e b u l k o c z ą c y m i	0.03137505427002907	0.31090855598449707	-2
n i e s o l a n k o w a n e	n i e s o l a n k o w a n e	0.032822505384683606	0.018100572749972343	-2
