prediction	target	average probability	entropy	dist
c h r u s t a ł a	c h r u s t a ł a	0.031660085543990135	0.013807862997055054	-2
n i e ś w i a t ł o ż ą d n y c h	n i e ś w i a t ł o ż ą d n y c h	0.03385973162949085	0.023149903863668442	-2
n i e p l u s k o c z ą c e	n i e p l u s k o c z ą c e	0.024275095760822298	1.2532724142074585	-2
p r z y p o d n u j ą c e m u   s i ę	p r z y p o d n o s z ą c e m u   s i ę	0.03339654020965099	0.8504651188850403	1
c u g o w o ś ć	c u g o w o ś ć	0.037108945101499556	0.01294049620628357	-2
p r z y w ę d z e ń	p r z y w ę d z e ń	0.02638848125934601	0.07431519031524658	-2
n i e o d p l a t a j ą c y m i   s i ę	n i e o d p l a t a j ą c y m i   s i ę	0.03463429100811481	0.05026545748114586	-2
n i e p r o f a s z y s t o w s k i c h	n i e p r o f a s z y s t o w s k i c h	0.035508307814598086	0.014605334028601646	-2
n i e w y d u d k a n y c h	n i e w y d u d k a n y c h	0.03039362356066704	0.013570697046816349	-2
k o n f o r m i z m i e	k o n f o r m i z m i e	0.026067545637488365	0.5659312009811401	-2
n i e k r z e s ł o w ą	n i e k r z e s ł o w ą	0.03199702613055706	0.014143322594463825	-2
u s t r a s z m y	u s t r a s z m y	0.029124047234654428	0.29861003160476685	-2
n i e w y h a m o w a n y c h	n i e w y h a m o w a n y c h	0.031092451885342598	0.013830077834427357	-2
z a d u m a n a	z a d u m a n a	0.04310653209686279	0.011546083725988865	-2
p o g l ą d o w o ś c i	p o g l ą d o w o ś c i	0.02989617586135864	0.02151963673532009	-2
n i e p r z e o b l e k a j ą c y m	n i e p r z e o b l e k a j ą c y m	0.028529466316103935	0.01672978699207306	-2
n i e d y g a j ą c y	n i e d y g a j ą c y	0.02879849784076214	0.017963659018278122	-2
r e p r e s y w n o ś c i	r e p r e s y w n o ś c i	0.03454714342951774	0.01580384187400341	-2
s m a r k n i j m y	s m a r k n i j m y	0.027867321297526358	0.02816065028309822	-2
t e r	t e r	0.09142957329750061	0.04567832127213478	-2
n i e u m u z y k a l n i e ń	n i e u m u z y k a l n i e ń	0.02549765408039093	0.024502750486135483	-2
n i e z a d z i o b u j ą c y   s i ę	n i e z a d z i o b u j ą c y   s i ę	0.038358502089977264	0.015317649580538273	-2
k o k i e t e r y j n y	k o k i e t e r y j n y	0.043890462070703504	0.01575862430036068	-2
p r z e m a r z a j ą c e j	p r z e m a r z a j ą c e j	0.0258210901170969	0.01782543770968914	-2
n i e o d ś w i e t l o n y m i	n i e o d ś w i e t l o n y m i	0.03100964054465294	0.01673746109008789	-2
w b i e c l i ś c i e	w b i e g l i ś c i e	0.026508840173482894	0.4496198892593384	-1
o f i c e r k ó w	o f i c e r k ó w	0.03453532010316849	0.06922351568937302	-2
w a ś n i e s z	w a ś n i s z	0.022173727676272393	1.12991201877594	-1
n a k a r b o w a n ą	n a k a r b o w a n ą	0.03470573872327805	0.013684320263564587	-2
p o w i n o w a c i e   s i ę	p o w i n o w a c i   s i ę	0.023040769249200822	1.4486181735992432	-1
o d t ł u ś c i ł o b y m   s i ę	o d t ł u ś c i ł o b y m   s i ę	0.031123463436961173	0.7153957486152649	-2
p a r a f r a z u j   s i ę	p a r a f r a z u j   s i ę	0.03231613636016846	0.02339578978717327	-2
