prediction	target	average probability	entropy	edit_distance	uncertainty_value
n i e p r z e p c h a n i a	n i e p r z e p c h a n i a	0.1975662112236023	tensor(0.3204)	-2	0.32038944959640503
o d l u d n o ś ć	o d l u d n o ś ć	0.19737792015075684	tensor(0.3203)	-2	0.3202723264694214
b ę d z i e c i e   o m ą c z a ł y	b ę d z i e c i e   o m ą c z a ł y	0.19594615697860718	tensor(0.3194)	-2	0.3193756639957428
n i e o s i w i o n e m u	n i e o s i w i o n e m u	0.19586734771728515	tensor(0.3193)	-2	0.3193259835243225
n i e p i s y w a n y c h	n i e p i s y w a n y c h	0.19787801504135133	tensor(0.3206)	-2	0.3205830752849579
p o u w ł a s z c z e n i o w y c h	p o u w ł a s z c z e n i o w y c h	0.19629371166229248	tensor(0.3196)	-2	0.31959426403045654
n i e m i ę d z y g r o m a d z k o ś c i a c h	n i e m i ę d z y g r o m a d z k o ś c i a c h	0.19594212770462036	tensor(0.3194)	-2	0.31937310099601746
n i e w i l k o w a t y m	n i e w i l k o w a t y m	0.19726577997207642	tensor(0.3202)	-2	0.32020246982574463
p r z e s i ą k r a c h	p r z e s i ą k r a c h	0.19492669105529786	tensor(0.3187)	-2	0.31873083114624023
o z i e w a ł o b y ś	o z i e w a ł o b y ś	0.1974758505821228	tensor(0.3203)	-2	0.3203332722187042
n i e o b w ł ó c z o n y c h	n i e o b w ł ó c z o n y c h	0.19768826961517333	tensor(0.3205)	-2	0.3204653263092041
s z p i n e t o w o ś c i	s z p i n e t o w o ś c i	0.1972430944442749	tensor(0.3202)	-2	0.3201883137226105
n a z i e m n y	n a z i e m n y	0.19823747873306274	tensor(0.3208)	-2	0.3208056390285492
n i e k a r n a w a ł o w a n i e	n i e k a r n a w a ł o w a n i e	0.19665993452072145	tensor(0.3198)	-2	0.3198239803314209
w y p o ś r o d k o w u j ą c e j	w y p o ś r o d k o w u j ą c e j	0.19700504541397096	tensor(0.3200)	-2	0.3200398087501526
d r u g o l e t n i m i	d r u g o l e t n i m i	0.19782248735427857	tensor(0.3205)	-2	0.3205486238002777
n i e z w i ę d n i ę t e j	n i e z w i ę d n i ę t e j	0.1973637819290161	tensor(0.3203)	-2	0.32026350498199463
n i e n a r o j e n i e m   s i ę	n i e n a r o j e n i e m   s i ę	0.19736071825027465	tensor(0.3203)	-2	0.3202616274356842
n i e p o m r o c z e n i a	n i e p o m r o c z e n i a	0.19514533281326293	tensor(0.3189)	-2	0.31886956095695496
