prediction	target	average probability	entropy	dist
c h r u s t a ł a	c h r u s t a ł a	0.0321781225502491	0.01442398689687252	-2
n i e ś w i a t ł o ż ą d n y c h	n i e ś w i a t ł o ż ą d n y c h	0.03205945901572704	0.020880989730358124	-2
n i e p l u s k o c z ą c e	n i e p l u s k o c z ą c e	0.02408984713256359	0.9849586486816406	-2
p r z y p o d n u j ą c e m u   s i ę	p r z y p o d n o s z ą c e m u   s i ę	0.03146886713802814	0.5922228693962097	1
c u g o w o ś ć	c u g o w o ś ć	0.040135568380355834	0.013595150783658028	-2
p r z y w ę d z e ń	p r z y w ę d z e ń	0.02608287110924721	0.03671272471547127	-2
n i e o d p l a t a j ą c y m i   s i ę	n i e o d p l a t a j ą c y m i   s i ę	0.03431177437305451	0.024301793426275253	-2
n i e p r o f a s z y s t o w s k i c h	n i e p r o f a s z y s t o w s k i c h	0.03482434451580048	0.015711234882473946	-2
n i e w y d u d k a n y c h	n i e w y d u d k a n y c h	0.029263178631663323	0.012126509100198746	-2
k o n f o r m i z m i e	k o n f o r m i z m i e	0.025903529673814773	0.6429435014724731	-2
n i e k r z e s ł o w ą	n i e k r z e s ł o w ą	0.03303242623806	0.013520905748009682	-2
u s t r a s z m y	u s t r a s z m y	0.027080483362078668	0.24067267775535583	-2
n i e w y h a m o w a n y c h	n i e w y h a m o w a n y c h	0.027744339033961295	0.013732810504734516	-2
z a d u m a n a	z a d u m a n a	0.039022146910429004	0.013139121234416962	-2
p o g l ą d o w o ś c i	p o g l ą d o w o ś c i	0.029220032319426537	0.020614661276340485	-2
n i e p r z e o b l e k a j ą c y m	n i e p r z e o b l e k a j ą c y m	0.028954382985830307	0.015503637492656708	-2
n i e d y g a j ą c y	n i e d y g a j ą c y	0.028198573738336563	0.016659650951623917	-2
r e p r e s y w n o ś c i	r e p r e s y w n o ś c i	0.03837144076824188	0.014461515471339226	-2
s m a r k n i j m y	s m a r k n i j m y	0.02823020555078983	0.027845283970236778	-2
t e r	t e r	0.11292307823896408	0.026312580332159996	-2
n i e u m u z y k a l n i e ń	n i e u m u z y k a l n i e ń	0.02526656910777092	0.019341539591550827	-2
n i e z a d z i o b u j ą c y   s i ę	n i e z a d z i o b u j ą c y   s i ę	0.040256548672914505	0.016455719247460365	-2
k o k i e t e r y j n y	k o k i e t e r y j n y	0.04398485347628593	0.01409949455410242	-2
p r z e m a r z a j ą c e j	p r z e m a r z a j ą c e j	0.027944141998887062	0.020304420962929726	-2
n i e o d ś w i e t l o n y m i	n i e o d ś w i e t l o n y m i	0.02868735007941723	0.01566372439265251	-2
w b i e c l i ś c i e	w b i e g l i ś c i e	0.026570053398609163	0.5530763268470764	-1
o f i c e r k ó w	o f i c e r k ó w	0.034737374633550644	0.03761586546897888	-2
w a ś n i c i e	w a ś n i s z	0.020495685562491418	1.363398790359497	1
n a k a r b o w a n ą	n a k a r b o w a n ą	0.033447830379009245	0.014527232386171818	-2
p o w i n u j e   s i ę	p o w i n o w a c i   s i ę	0.024845153838396073	0.5573486685752869	3
o d t ł u s z c i ł o b y m   s i ę	o d t ł u ś c i ł o b y m   s i ę	0.03220501989126205	0.6002563238143921	0
p a r a f r a z u j   s i ę	p a r a f r a z u j   s i ę	0.030798401311039926	0.02861938439309597	-2
n i e w e ł n o d a j n o ś c i	n i e w e ł n o d a j n o ś c i	0.03616544157266617	0.017524173483252525	-2
l u f s k u	l u f s k u	0.038987476378679276	0.5907337665557861	-2
n i e i d e a l i s t y c z n o ś c i	n i e i d e a l i s t y c z n o ś c i	0.034807842969894406	0.020328234881162643	-2
b ę d z i e c i e   o ś m i e w a l i	b ę d z i e c i e   o ś m i e w a l i	0.033620815724134445	0.018177621066570282	-2
m i o d n y m	m i o d n y m	0.040891857072710994	0.011998923495411873	-2
l i t o g r a f o w a ł y ś c i e   s i ę	l i t o g r a f o w a ł y ś c i e   s i ę	0.04281846582889557	0.016360068693757057	-2
r u l o w a n e j	r u l o w a n e j	0.03679423332214356	0.014424456283450127	-2
b ę d z i e s z   g l a n s o w a ł o   s i ę	b ę d z i e s z   g l a n s o w a ł o   s i ę	0.04374878779053688	0.03517445921897888	-2
n i e b u l k o c z ą c y m i	n i e b u l k o c z ą c y m i	0.028945940732955932	0.9462535381317139	-2
n i e s o l a n k o w a n e	n i e s o l a n k o w a n e	0.032494088262319566	0.01573967933654785	-2
n i e p o z a o b o w i ą z k o w y m	n i e p o z a o b o w i ą z k o w y m	0.03001597784459591	0.02199857123196125	-2
o b i e c u j ą c y c h	o b i e c u j ą c y c h	0.02597629316151142	0.24111315608024597	-2
e s t e t y z u j ą c e	e s t e t y z u j ą c e	0.028007745370268823	0.022332070395350456	-2
n i e n o r m a n d z k i c h	n i e n o r m a n d z k i c h	0.030741705372929574	0.01932617276906967	-2
n i e z d r a p y w a n y m	n i e z d r a p y w a n y m	0.028166263923048974	0.014756528660655022	-2
o z n a j m o w a ł a   s i ę	o z n a j m o w a ł a   s i ę	0.031169090792536734	0.014621423557400703	-2
b ę d z i e s z   r o z c i e r a ł o	b ę d z i e s z   r o z c i e r a ł o	0.02723710834980011	0.043974533677101135	-2
n i e n i u a n s o w a n i e	n i e n i u a n s o w a n i e	0.023806247860193253	0.0246732197701931	-2
