prediction	target	average probability	entropy	edit_distance	uncertainty_value
n i e p r z e p c h a n i a	n i e p r z e p c h a n i a	0.1963644027709961	tensor(0.3196)	-2	0.3196386694908142
o d l u d n o ś ć	o d l u d n o ś ć	0.19716750383377074	tensor(0.3201)	-2	0.3201411962509155
p a c a ł y b y ś c i e	p a c a ł y b y ś c i e	0.19712574481964112	tensor(0.3201)	-2	0.3201151490211487
b ę d z i e c i e   o m ą c z a ł y	b ę d z i e c i e   o m ą c z a ł y	0.1962711453437805	tensor(0.3196)	-2	0.3195801079273224
n i e o s i w i o n e m u	n i e o s i w i o n e m u	0.1951220750808716	tensor(0.3189)	-2	0.31885480880737305
n i e p i s y w a n y c h	n i e p i s y w a n y c h	0.19673858880996703	tensor(0.3199)	-2	0.31987321376800537
n i e w y s k a r ż a j ą c e m u   s i ę	n i e w y s k a r ż a j ą c e m u   s i ę	0.19712796211242675	tensor(0.3201)	-2	0.3201165497303009
p o u w ł a s z c z e n i o w y c h	p o u w ł a s z c z e n i o w y c h	0.19638314247131347	tensor(0.3197)	-2	0.31965044140815735
n i e m i ę d z y g r o m a d z k o ś c i a c h	n i e m i ę d z y g r o m a d z k o ś c i a c h	0.1949381113052368	tensor(0.3187)	-2	0.31873807311058044
d ę t o l o g i e	d ę t o l o g i i	0.18157655000686646	tensor(0.3098)	-1	0.3097837567329407
j a w o r z n i c k i	j a w o r z n i c c y	0.17332972288131715	tensor(0.3038)	0	0.30377066135406494
n i e w i l k o w a t y m	n i e w i l k o w a t y m	0.196902859210968	tensor(0.3200)	-2	0.31997597217559814
p r z e s i ą k r a c h	p r z e s i ą k r a c h	0.19454582929611205	tensor(0.3185)	-2	0.31848853826522827
w y p i ę k n i a l i b y	w y p i ę k n i a l i b y	0.19603824615478516	tensor(0.3194)	-2	0.31943365931510925
o z i e w a ł o b y ś	o z i e w a ł o b y ś	0.19717105627059936	tensor(0.3201)	-2	0.3201434016227722
n i e o b w ł ó c z o n y c h	n i e o b w ł ó c z o n y c h	0.1972297191619873	tensor(0.3202)	-2	0.3201799690723419
s z p i n e t o w o ś c i	s z p i n e t o w o ś c i	0.19686415195465087	tensor(0.3200)	-2	0.31995174288749695
n a z i e m n y	n a z i e m n y	0.19723906517028808	tensor(0.3202)	-2	0.3201858103275299
n i e k a r n a w a ł o w a n i e	n i e k a r n a w a ł o w a n i e	0.1942883014678955	tensor(0.3183)	-2	0.3183242976665497
w y p o ś r o d k o w u j ą c e j	w y p o ś r o d k o w u j ą c e j	0.1959470510482788	tensor(0.3194)	-2	0.31937623023986816
p o p i e c e n i a	p o p i e c z e n i a	0.1687660574913025	tensor(0.3003)	-1	0.30027562379837036
