prediction	target	average probability	entropy	edit_distance	uncertainty_value
n i e m i ę d z y g r o m a d z k o ś c i a c h	n i e m i ę d z y g r o m a d z k o ś c i a c h	0.1951284885406494	tensor(0.3189)	-2	0.31885889172554016
p r z e s i ą k r a c h	p r z e s i ą k r a c h	0.18414583206176757	tensor(0.3116)	-2	0.31157976388931274
n i e p o m r o c z e n i a	n i e p o m r o c z e n i a	0.18569836616516114	tensor(0.3126)	-2	0.31264764070510864
z a ł a t w i e n i u	z a ł a t w i e n i u	0.15933606624603272	tensor(0.2927)	-2	0.29265886545181274
g o r d i n g ó w	g o r d i n g ó w	0.1845989465713501	tensor(0.3119)	-2	0.3118927776813507
n i e p r z e p l e n i e n i a	n i e p r z e p l e n i e n i a	0.18194205760955812	tensor(0.3100)	-2	0.3100414574146271
n i e p o p r z e g l ą d a n i o m   s i ę	n i e p o p r z e g l ą d a n i o m   s i ę	0.19197601079940796	tensor(0.3168)	-2	0.31683430075645447
e s o w a j ą c ą	e s u j ą c ą	0.1851312279701233	tensor(0.3123)	1	0.3122590482234955
l n i a n o w ł o s o ś c i	l n i a n o w ł o s o ś c i	0.19215015172958375	tensor(0.3169)	-2	0.31694748997688293
n i e s k o p i o n y m	n i e s k o p i o n y m	0.1943801999092102	tensor(0.3184)	-2	0.31838294863700867
n i e p r z e c h ł a d z a j ą c y m   s i ę	n i e p r z e c h ł a d z a j ą c y m   s i ę	0.1938777208328247	tensor(0.3181)	-2	0.3180617690086365
s a m c z y k o w i	s a m c z y k o w i	0.1830059766769409	tensor(0.3108)	-2	0.3107874095439911
p o k r w a w i e n i a	p o k r w a w i e n i a	0.1960245728492737	tensor(0.3194)	-2	0.3194250166416168
o b s r y w a j ą c y m   s i ę	o b s r y w a j ą c y m   s i ę	0.18549879789352416	tensor(0.3125)	-2	0.3125110864639282
n i e k l e p a r s k o ś c i a c h	n i e k l e p a r s k o ś c i a c h	0.19683862924575807	tensor(0.3199)	-2	0.31993579864501953
