prediction	target	average probability	entropy	edit_distance	uncertainty_value
n i e p r z e p c h a n i a	n i e p r z e p c h a n i a	0.19666366577148436	tensor(0.3198)	-2	0.31982630491256714
o d l u d n o ś ć	o d l u d n o ś ć	0.19700297117233276	tensor(0.3200)	-2	0.32003849744796753
p a c a ł y b y ś c i e	p a c a ł y b y ś c i e	0.19759564399719237	tensor(0.3204)	-2	0.32040777802467346
b ę d z i e c i e   o m ą c z a ł y	b ę d z i e c i e   o m ą c z a ł y	0.1968055009841919	tensor(0.3199)	-2	0.3199150860309601
n i e o s i w i o n e m u	n i e o s i w i o n e m u	0.19605059623718263	tensor(0.3194)	-2	0.31944140791893005
n i e p i s y w a n y c h	n i e p i s y w a n y c h	0.1963226318359375	tensor(0.3196)	-2	0.31961244344711304
n i e w y s k a r ż a j ą c e m u   s i ę	n i e w y s k a r ż a j ą c e m u   s i ę	0.1977720856666565	tensor(0.3205)	-2	0.320517361164093
p o u w ł a s z c z e n i o w y c h	p o u w ł a s z c z e n i o w y c h	0.19105794429779052	tensor(0.3162)	-2	0.3162350058555603
n i e m i ę d z y g r o m a d z k o ś c i a c h	n i e m i ę d z y g r o m a d z k o ś c i a c h	0.19444551467895507	tensor(0.3184)	-2	0.31842461228370667
n i e w i l k o w a t y m	n i e w i l k o w a t y m	0.19748420715332032	tensor(0.3203)	-2	0.32033848762512207
p r z e s i ą k r a c h	p r z e s i ą k r a c h	0.19496541023254393	tensor(0.3188)	-2	0.3187553882598877
w y p i ę k n i a l i b y	w y p i ę k n i a l i b y	0.1971530795097351	tensor(0.3201)	-2	0.32013219594955444
o z i e w a ł o b y ś	o z i e w a ł o b y ś	0.1969851851463318	tensor(0.3200)	-2	0.3200274109840393
n i e o b w ł ó c z o n y c h	n i e o b w ł ó c z o n y c h	0.19662312269210816	tensor(0.3198)	-2	0.3198009133338928
s z p i n e t o w o ś c i	s z p i n e t o w o ś c i	0.19717793464660643	tensor(0.3201)	-2	0.32014769315719604
n a z i e m n y	n a z i e m n y	0.19403889179229736	tensor(0.3182)	-2	0.3181649148464203
n i e k a r n a w a ł o w a n i e	n i e k a r n a w a ł o w a n i e	0.1952159285545349	tensor(0.3189)	-2	0.3189142942428589
w y p o ś r o d k o w u j ą c e j	w y p o ś r o d k o w u j ą c e j	0.19512544870376586	tensor(0.3189)	-2	0.31885695457458496
p o p i e c e n i a	p o p i e c z e n i a	0.13333209753036498	tensor(0.4229)	-1	0.4228915572166443
n i e p r z y o r u j ą c e   s i ę	n i e p r z y o r y w a j ą c e   s i ę	0.09911013841629028	tensor(0.4532)	1	0.4532265067100525
d r u g o l e t n i m i	d r u g o l e t n i m i	0.19718070030212403	tensor(0.3201)	-2	0.32014942169189453
l u d w i s a r s t w u	l u d w i s a r s t w i e	0.19574146270751952	tensor(0.3192)	0	0.3192466199398041
r z ę ź ą c e	r z ę ż ą c e	0.09418335556983948	tensor(0.3817)	-1	0.3816598653793335
n i e z w i ę d n i ę t e j	n i e z w i ę d n i ę t e j	0.19589455127716066	tensor(0.3193)	-2	0.31934311985969543
n i e k o m o r n i c z y m	n i e k o m o r n i c z y m	0.19797900915145875	tensor(0.3206)	-2	0.32064566016197205
n i e n a r o j e n i e m   s i ę	n i e n a r o j e n i e m   s i ę	0.19778850078582763	tensor(0.3205)	-2	0.3205275535583496
p r z y s z n u r o w y w a ł y   s i ę	p r z y s z n u r o w y w a ł y   s i ę	0.19693046808242798	tensor(0.3200)	-2	0.3199932277202606
n i e p o m r o c z e n i a	n i e p o m r o c z e n i a	0.18907241821289061	tensor(0.3149)	-2	0.31492379307746887
b ę d z i e c i e   t ł a m s i ł y   s i ę	b ę d z i e c i e   t ł a m s i ł y   s i ę	0.19677749872207642	tensor(0.3199)	-2	0.3198975622653961
n a j k r ą g ł s z y c h	n a j k r ą g l e j s z y c h	0.07741106748580932	tensor(0.3522)	1	0.3522307276725769
z a ł a t w i e n i u	z a ł a t w i e n i u	0.19745703935623168	tensor(0.3203)	-2	0.32032158970832825
s t a b i l i z u j ą c o ś ć	s t a b i l i z u j ą c o ś ć	0.19084588289260865	tensor(0.3161)	-2	0.3160959482192993
p ł ó t n o w a ł b y	p ł ó t n o w a ł b y	0.19549932479858398	tensor(0.3191)	-2	0.3190936744213104
c z e s a ł a b y m	c z e s a ł a b y m	0.1967039465904236	tensor(0.3199)	-2	0.31985151767730713
n i e b e z z a w o d n y	n i e b e z z a w o d n y	0.195484721660614	tensor(0.3191)	-2	0.31908443570137024
s p r ó ż n o w a l i ś c i e   s i ę	s p r ó ż n o w a l i ś c i e   s i ę	0.1898277997970581	tensor(0.3154)	-2	0.3154250681400299
n i e b i t u m i c z n y m	n i e b i t u m i c z n y m	0.19758435487747192	tensor(0.3204)	-2	0.32040074467658997
n i e u p a t r y w a j ą c a	n i e u p a t r u j ą c a	0.15687307119369506	tensor(0.2906)	1	0.2905788719654083
u r y n a l i k a c h	u r y n a l i k a c h	0.195711886882782	tensor(0.3192)	-2	0.319227933883667
g o r d i n g ó w	g o r d i n g ó w	0.19504213333129883	tensor(0.3188)	-2	0.3188041150569916
n i e r e s t r y k c y j n y	n i e r e s t r y k c y j n y	0.1953538179397583	tensor(0.3190)	-2	0.3190016448497772
s f a n a t y z o w a ł o b y ś	s f a n a t y z o w a ł o b y ś	0.19605807065963746	tensor(0.3194)	-2	0.3194461166858673
n i e m u m i o w a n i e   s i ę	n i e m u m i o w a n i e   s i ę	0.19654105901718139	tensor(0.3197)	-2	0.31974950432777405
p o w y t ł u k a n i a	p o w y t ł u k a n i a	0.19705222845077514	tensor(0.3201)	-2	0.320069283246994
p o p r z y k l e j a ł y ś m y	p o p r z y k l e j a ł y ś m y	0.1973333477973938	tensor(0.3202)	-2	0.32024458050727844
n i e u p l a t a j ą c y c h   s i ę	n i e u p l a t a j ą c y c h   s i ę	0.1965859889984131	tensor(0.3198)	-2	0.31977763772010803
n i e h e k t o l i t r o w o ś c i a m i	n i e h e k t o l i t r o w o ś c i a m i	0.19689927101135254	tensor(0.3200)	-2	0.31997373700141907
n i e p a p r y k u j ą c ą	n i e p a p r y k u j ą c ą	0.19616566896438598	tensor(0.3195)	-2	0.31951379776000977
b ę d z i e   r o z s i e r d z a ć	b ę d z i e   r o z s i e r d z a ć	0.19398145675659179	tensor(0.3181)	-2	0.31812816858291626
n i e p r z e p l e n i e n i a	n i e p r z e p l e n i e n i a	0.1902984380722046	tensor(0.3157)	-2	0.3157358765602112
z a s k l e p i a j ą c y	z a s k l e p i a j ą c y	0.19669047594070435	tensor(0.3198)	-2	0.3198431134223938
b a n d a ż o w a n e	b a n d a ż o w a n e	0.1965528607368469	tensor(0.3198)	-2	0.3197568953037262
n i e p o p r z e g l ą d a n i o m   s i ę	n i e p o p r z e g l ą d a n i o m   s i ę	0.1809512972831726	tensor(0.3093)	-2	0.3093411922454834
e s o w a j ą c ą	e s u j ą c ą	0.19377435445785524	tensor(0.3180)	1	0.31799551844596863
k l a n o w e	k l a n o w e	0.1972104787826538	tensor(0.3202)	-2	0.32016798853874207
